pdb_id,rep,ns/day,hour/ns
3klr_A,1,351.897,0.068
3klr_A,2,328.22,0.073
3klr_A,3,324.727,0.074
6mdw_A,1,192.35,0.125
6mdw_A,2,190.708,0.126
6mdw_A,3,187.331,0.128
4p5a_B,1,174.868,0.137
4p5a_B,2,156.898,0.153
4p5a_B,3,174.27,0.138
2xf5_B,1,560.628,0.043
2xf5_B,2,548.442,0.044
2xf5_B,3,559.517,0.043
1yu5_X,1,429.447,0.056
1yu5_X,2,426.967,0.056
1yu5_X,3,427.87,0.056
1m8s_A,1,341.885,0.07
1m8s_A,2,347.196,0.069
1m8s_A,3,343.766,0.07
1sx3_B,1,144.885,0.166
1sx3_B,2,128.162,0.187
1sx3_B,3,132.179,0.182
7qgs_A,1,333.766,0.072
7qgs_A,2,335.362,0.072
7qgs_A,3,329.981,0.073
6qgr_B,1,208.631,0.115
6qgr_B,2,194.161,0.124
6qgr_B,3,206.021,0.116
5i8j_A,1,433.713,0.055
5i8j_A,2,436.771,0.055
5i8j_A,3,438.395,0.055
2wfp_A,1,179.787,0.133
2wfp_A,2,173.325,0.138
2wfp_A,3,179.307,0.134
3dha_A,1,235.334,0.102
3dha_A,2,233.754,0.103
3dha_A,3,234.76,0.102
4gip_B,1,155.144,0.155
4gip_B,2,177.623,0.135
4gip_B,3,166.955,0.144
1rl6_A,1,194.774,0.123
1rl6_A,2,214.189,0.112
1rl6_A,3,193.313,0.124
2qdx_A,1,210.208,0.114
2qdx_A,2,212.583,0.113
2qdx_A,3,209.139,0.115
3luu_A,1,383.327,0.063
3luu_A,2,373.333,0.064
3luu_A,3,376.342,0.064
1ze3_D,1,241.498,0.099
1ze3_D,2,254.914,0.094
1ze3_D,3,251.653,0.095
3tdt_A,1,179.331,0.134
3tdt_A,2,171.048,0.14
3tdt_A,3,177.125,0.135
1rpo_A,1,385.998,0.062
1rpo_A,2,384.577,0.062
1rpo_A,3,368.004,0.065
4jja_A,1,187.664,0.128
4jja_A,2,187.951,0.128
4jja_A,3,182.923,0.131
1t9i_B,1,210.194,0.114
1t9i_B,2,220.869,0.109
1t9i_B,3,212.57,0.113
2v0u_A,1,272.909,0.088
2v0u_A,2,299.702,0.08
2v0u_A,3,277.461,0.086
4gsj_A,1,179.312,0.134
4gsj_A,2,180.189,0.133
4gsj_A,3,178.422,0.135
4geh_C,1,220.215,0.109
4geh_C,2,201.89,0.119
4geh_C,3,223.506,0.107
3bec_A,1,116.319,0.206
3bec_A,2,122.736,0.196
3bec_A,3,121.6,0.197
6bk4_A,1,245.784,0.098
6bk4_A,2,248.828,0.096
6bk4_A,3,246.706,0.097
2b9d_A,1,450.283,0.053
2b9d_A,2,457.314,0.052
2b9d_A,3,450.525,0.053
3zdm_A,1,380.254,0.063
3zdm_A,2,380.474,0.063
3zdm_A,3,393.186,0.061
4qxo_A,1,214.107,0.112
4qxo_A,2,221.749,0.108
4qxo_A,3,211.846,0.113
1wq8_A,1,190.494,0.126
1wq8_A,2,191.538,0.125
1wq8_A,3,191.921,0.125
6c0h_A,1,218.264,0.11
6c0h_A,2,214.439,0.112
6c0h_A,3,223.761,0.107
2gc4_B,1,285.151,0.084
2gc4_B,2,311.612,0.077
2gc4_B,3,286.376,0.084
2f6e_A,1,258.736,0.093
2f6e_A,2,251.916,0.095
2f6e_A,3,251.466,0.095
4bt9_A,1,120.795,0.199
4bt9_A,2,132.749,0.181
4bt9_A,3,127.25,0.189
5w53_A,1,137.695,0.174
5w53_A,2,136.139,0.176
5w53_A,3,134.639,0.178
1b2s_F,1,420.893,0.057
1b2s_F,2,422.81,0.057
1b2s_F,3,414.324,0.058
3fgh_A,1,365.301,0.066
3fgh_A,2,359.736,0.067
3fgh_A,3,373.928,0.064
1v2z_A,1,268.918,0.089
1v2z_A,2,272.91,0.088
1v2z_A,3,277.784,0.086
1ab1_A,1,564.437,0.043
1ab1_A,2,572.031,0.042
1ab1_A,3,586.155,0.041
2zwd_A,1,204.725,0.117
2zwd_A,2,191.959,0.125
2zwd_A,3,200.238,0.12
4xo2_A,1,360.005,0.067
4xo2_A,2,375.875,0.064
4xo2_A,3,342.023,0.07
2z4u_A,1,224.586,0.107
2z4u_A,2,225.512,0.106
2z4u_A,3,235.637,0.102
4na5_A,1,109.05,0.22
4na5_A,2,109.785,0.219
4na5_A,3,109.353,0.219
1hoe_A,1,469.209,0.051
1hoe_A,2,446.929,0.054
1hoe_A,3,476.251,0.05
7rsa_A,1,347.172,0.069
7rsa_A,2,316.13,0.076
7rsa_A,3,316.899,0.076
2xrh_A,1,330.907,0.073
2xrh_A,2,333.439,0.072
2xrh_A,3,326.864,0.073
2x9o_A,1,207.628,0.116
2x9o_A,2,218.721,0.11
2x9o_A,3,206.406,0.116
1pcf_C,1,383.249,0.063
1pcf_C,2,377.722,0.064
1pcf_C,3,374.211,0.064
4z8t_B,1,289.788,0.083
4z8t_B,2,282.172,0.085
4z8t_B,3,281.279,0.085
1fm4_A,1,310.317,0.077
1fm4_A,2,313.135,0.077
1fm4_A,3,305.914,0.078
4xdu_A,1,137.315,0.175
4xdu_A,2,140.174,0.171
4xdu_A,3,141.041,0.17
3ov5_A,1,389.322,0.062
3ov5_A,2,392.34,0.061
3ov5_A,3,386.068,0.062
1s2o_A,1,220.924,0.109
1s2o_A,2,210.913,0.114
1s2o_A,3,214.048,0.112
1cpq_A,1,305.719,0.079
1cpq_A,2,302.98,0.079
1cpq_A,3,305.029,0.079
4z8q_B,1,266.642,0.09
4z8q_B,2,282.607,0.085
4z8q_B,3,281.229,0.085
3imk_A,1,292.706,0.082
3imk_A,2,291.117,0.082
3imk_A,3,300.876,0.08
3crv_A,1,107.047,0.224
3crv_A,2,109.426,0.219
3crv_A,3,109.642,0.219
4qaz_A,1,305.736,0.078
4qaz_A,2,274.057,0.088
4qaz_A,3,276.2,0.087
2ycl_A,1,119.118,0.201
2ycl_A,2,121.108,0.198
2ycl_A,3,118.276,0.203
5ltj_A,1,77.527,0.31
5ltj_A,2,74.619,0.322
5ltj_A,3,77.262,0.311
2pyq_B,1,390.714,0.061
2pyq_B,2,363.409,0.066
2pyq_B,3,363.963,0.066
7w81_A,1,215.545,0.111
7w81_A,2,221.639,0.108
7w81_A,3,205.909,0.117
2ed6_A,1,251.326,0.095
2ed6_A,2,227.2,0.106
2ed6_A,3,251.177,0.096
1jo0_A,1,366.278,0.066
1jo0_A,2,365.786,0.066
1jo0_A,3,358.689,0.067
7s58_D,1,323.372,0.074
7s58_D,2,335.04,0.072
7s58_D,3,348.708,0.069
2vkp_B,1,330.233,0.073
2vkp_B,2,338.474,0.071
2vkp_B,3,330.343,0.073
2wbf_X,1,209.231,0.115
2wbf_X,2,214.236,0.112
2wbf_X,3,210.792,0.114
3zoq_B,1,360.964,0.066
3zoq_B,2,370.868,0.065
3zoq_B,3,368.659,0.065
2e5y_B,1,302.645,0.079
2e5y_B,2,280.754,0.085
2e5y_B,3,290.836,0.083
6wqd_B,1,269.631,0.089
6wqd_B,2,246.17,0.097
6wqd_B,3,253.13,0.095
2cwy_A,1,423.202,0.057
2cwy_A,2,422.174,0.057
2cwy_A,3,416.565,0.058
1nh2_B,1,503.149,0.048
1nh2_B,2,484.338,0.05
1nh2_B,3,482.545,0.05
2ia1_B,1,227.821,0.105
2ia1_B,2,215.388,0.111
2ia1_B,3,225.258,0.107
1lsl_A,1,146.828,0.163
1lsl_A,2,144.494,0.166
1lsl_A,3,144.235,0.166
2au7_A,1,258.274,0.093
2au7_A,2,262.622,0.091
2au7_A,3,268.573,0.089
4ndt_A,1,449.275,0.053
4ndt_A,2,445.074,0.054
4ndt_A,3,445.271,0.054
4mmj_A,1,321.249,0.075
4mmj_A,2,317.01,0.076
4mmj_A,3,320.843,0.075
5ef9_A,1,251.556,0.095
5ef9_A,2,242.412,0.099
5ef9_A,3,244.505,0.098
3nke_B,1,176.314,0.136
3nke_B,2,180.986,0.133
3nke_B,3,177.003,0.136
1uwk_B,1,131.297,0.183
1uwk_B,2,131.409,0.183
1uwk_B,3,131.178,0.183
3las_B,1,164.91,0.146
3las_B,2,164.553,0.146
3las_B,3,165.256,0.145
7nmq_A,1,152.586,0.157
7nmq_A,2,150.318,0.16
7nmq_A,3,146.218,0.164
2oy9_B,1,311.94,0.077
2oy9_B,2,338.052,0.071
2oy9_B,3,323.101,0.074
3im3_A,1,410.854,0.058
3im3_A,2,396.432,0.061
3im3_A,3,396.754,0.06
2ia1_A,1,203.838,0.118
2ia1_A,2,199.166,0.121
2ia1_A,3,198.18,0.121
1thm_A,1,251.687,0.095
1thm_A,2,267.616,0.09
1thm_A,3,241.218,0.099
1lwb_A,1,369.175,0.065
1lwb_A,2,356.343,0.067
1lwb_A,3,359.967,0.067
3mxz_A,1,241.007,0.1
3mxz_A,2,261.584,0.092
3mxz_A,3,258.003,0.093
5dmu_A,1,196.128,0.122
5dmu_A,2,191.702,0.125
5dmu_A,3,192.384,0.125
1zjc_A,1,145.861,0.165
1zjc_A,2,143.796,0.167
1zjc_A,3,158.61,0.151
1o75_A,1,106.047,0.226
1o75_A,2,113.11,0.212
1o75_A,3,109.672,0.219
4zqv_A,1,240.73,0.1
4zqv_A,2,221.632,0.108
4zqv_A,3,233.519,0.103
6nl2_A,1,126.392,0.19
6nl2_A,2,138.39,0.173
6nl2_A,3,127.17,0.189
6a02_A,1,186.917,0.128
6a02_A,2,180.038,0.133
6a02_A,3,179.597,0.134
2waw_A,1,288.554,0.083
2waw_A,2,278.282,0.086
2waw_A,3,290.072,0.083
2wzb_A,1,145.427,0.165
2wzb_A,2,140.515,0.171
2wzb_A,3,147.83,0.162
2hxm_A,1,232.064,0.103
2hxm_A,2,216.715,0.111
2hxm_A,3,218.776,0.11
3u9g_A,1,174.017,0.138
3u9g_A,2,190.145,0.126
3u9g_A,3,182.784,0.131
3w1o_A,1,373.185,0.064
3w1o_A,2,356.356,0.067
3w1o_A,3,370.241,0.065
1vk1_A,1,201.774,0.119
1vk1_A,2,203.866,0.118
1vk1_A,3,198.401,0.121
6tj6_C,1,254.45,0.094
6tj6_C,2,242.21,0.099
6tj6_C,3,236.116,0.102
1h99_A,1,168.79,0.142
1h99_A,2,165.499,0.145
1h99_A,3,163.627,0.147
1v7z_F,1,181.263,0.132
1v7z_F,2,195.086,0.123
1v7z_F,3,195.827,0.123
1yqw_B,1,221.494,0.108
1yqw_B,2,206.883,0.116
1yqw_B,3,219.035,0.11
8bnt_B,1,189.868,0.126
8bnt_B,2,184.671,0.13
8bnt_B,3,176.998,0.136
3dff_A,1,218.511,0.11
3dff_A,2,221.118,0.109
3dff_A,3,233.795,0.103
3enu_A,1,355.008,0.068
3enu_A,2,351.368,0.068
3enu_A,3,364.613,0.066
1llf_B,1,146.424,0.164
1llf_B,2,147.486,0.163
1llf_B,3,146.707,0.164
3lbl_A,1,373.108,0.064
3lbl_A,2,372.722,0.064
3lbl_A,3,378.514,0.063
5l0s_A,1,149.461,0.161
5l0s_A,2,157.848,0.152
5l0s_A,3,156.44,0.153
1q0q_A,1,176.975,0.136
1q0q_A,2,177.618,0.135
1q0q_A,3,173.28,0.139
5kts_A,1,185.39,0.129
5kts_A,2,191.776,0.125
5kts_A,3,176.427,0.136
1ojh_D,1,282.85,0.085
1ojh_D,2,289.876,0.083
1ojh_D,3,283.161,0.085
2au3_A,1,118.1,0.203
2au3_A,2,106.066,0.226
2au3_A,3,118.755,0.202
2h7g_X,1,147.391,0.163
2h7g_X,2,150.969,0.159
2h7g_X,3,146.98,0.163
1vyi_A,1,295.672,0.081
1vyi_A,2,297.078,0.081
1vyi_A,3,293.275,0.082
2po4_A,1,67.96,0.353
2po4_A,2,67.983,0.353
2po4_A,3,67.299,0.357
2v27_A,1,150.981,0.159
2v27_A,2,151.983,0.158
2v27_A,3,165.89,0.145
2bw3_B,1,263.039,0.091
2bw3_B,2,263.653,0.091
2bw3_B,3,269.436,0.089
6fc0_B,1,293.254,0.082
6fc0_B,2,296.071,0.081
6fc0_B,3,302.302,0.079
2e7u_A,1,151.417,0.159
2e7u_A,2,148.471,0.162
2e7u_A,3,153.724,0.156
3fbl_A,1,370.498,0.065
3fbl_A,2,378.45,0.063
3fbl_A,3,372.427,0.064
3eh1_A,1,97.545,0.246
3eh1_A,2,98.278,0.244
3eh1_A,3,97.413,0.246
3wp8_A,1,54.371,0.441
3wp8_A,2,51.474,0.466
3wp8_A,3,53.979,0.445
4k05_B,1,168.691,0.142
4k05_B,2,170.903,0.14
4k05_B,3,171.585,0.14
2fip_A,1,325.288,0.074
2fip_A,2,325.837,0.074
2fip_A,3,310.591,0.077
4zce_B,1,501.974,0.048
4zce_B,2,501.645,0.048
4zce_B,3,492.724,0.049
2vh3_B,1,320.861,0.075
2vh3_B,2,317.06,0.076
2vh3_B,3,312.791,0.077
5x0b_A,1,209.474,0.115
5x0b_A,2,212.657,0.113
5x0b_A,3,214.247,0.112
4o87_A,1,148.059,0.162
4o87_A,2,145.306,0.165
4o87_A,3,145.838,0.165
5uc0_A,1,317.005,0.076
5uc0_A,2,303.253,0.079
5uc0_A,3,307.761,0.078
1o98_A,1,120.663,0.199
1o98_A,2,120.577,0.199
1o98_A,3,118.757,0.202
3a1u_A,1,200.676,0.12
3a1u_A,2,193.093,0.124
3a1u_A,3,189.201,0.127
3tee_A,1,184.216,0.13
3tee_A,2,186.255,0.129
3tee_A,3,182.807,0.131
4epi_A,1,118.501,0.203
4epi_A,2,116.573,0.206
4epi_A,3,118.368,0.203
1l9l_A,1,415.627,0.058
1l9l_A,2,429.968,0.056
1l9l_A,3,424.189,0.057
6qj0_A,1,98.095,0.245
6qj0_A,2,98.315,0.244
6qj0_A,3,97.807,0.245
3lq9_A,1,249.238,0.096
3lq9_A,2,251.691,0.095
3lq9_A,3,236.361,0.102
6l4p_B,1,272.674,0.088
6l4p_B,2,284.343,0.084
6l4p_B,3,275.912,0.087
2fe5_A,1,377.777,0.064
2fe5_A,2,393.874,0.061
2fe5_A,3,371.003,0.065
1f5n_A,1,59.208,0.405
1f5n_A,2,57.228,0.419
1f5n_A,3,60.825,0.395
7jfl_D,1,530.633,0.045
7jfl_D,2,508.79,0.047
7jfl_D,3,549.763,0.044
6cb7_A,1,320.368,0.075
6cb7_A,2,328.593,0.073
6cb7_A,3,326.47,0.074
3zr8_X,1,467.825,0.051
3zr8_X,2,475.55,0.05
3zr8_X,3,468.279,0.051
5b1n_A,1,300.218,0.08
5b1n_A,2,302.036,0.079
5b1n_A,3,300.554,0.08
4ead_A,1,150.083,0.16
4ead_A,2,140.064,0.171
4ead_A,3,154.311,0.156
2hnu_B,1,470.221,0.051
2hnu_B,2,454.093,0.053
2hnu_B,3,453.278,0.053
3gmv_X,1,314.092,0.076
3gmv_X,2,324.449,0.074
3gmv_X,3,308.35,0.078
2it2_B,1,200.033,0.12
2it2_B,2,222.223,0.108
2it2_B,3,206.391,0.116
5xbc_B,1,344.382,0.07
5xbc_B,2,341.393,0.07
5xbc_B,3,344.043,0.07
3vhj_A,1,220.522,0.109
3vhj_A,2,234.186,0.102
3vhj_A,3,203.497,0.118
3a1g_D,1,506.395,0.047
3a1g_D,2,481.814,0.05
3a1g_D,3,489.743,0.049
4geh_A,1,221.128,0.109
4geh_A,2,203.275,0.118
4geh_A,3,218.634,0.11
1xmk_A,1,374.017,0.064
1xmk_A,2,384.238,0.062
1xmk_A,3,378.877,0.063
5x1e_A,1,374.646,0.064
5x1e_A,2,394.314,0.061
5x1e_A,3,363.986,0.066
4lur_A,1,141.541,0.17
4lur_A,2,142.974,0.168
4lur_A,3,146.029,0.164
3zfn_A,1,267.452,0.09
3zfn_A,2,281.682,0.085
3zfn_A,3,267.845,0.09
7la6_A,1,185.669,0.129
7la6_A,2,184.7,0.13
7la6_A,3,180.329,0.133
3ti2_A,1,258.535,0.093
3ti2_A,2,238.099,0.101
3ti2_A,3,238.934,0.1
1qlm_A,1,204.294,0.117
1qlm_A,2,222.862,0.108
1qlm_A,3,203.518,0.118
4mb5_A,1,72.98,0.329
4mb5_A,2,73.211,0.328
4mb5_A,3,73.056,0.329
4omf_B,1,194.004,0.124
4omf_B,2,196.776,0.122
4omf_B,3,206.015,0.116
2o70_F,1,239.253,0.1
2o70_F,2,235.883,0.102
2o70_F,3,234.378,0.102
6pxz_B,1,331.617,0.072
6pxz_B,2,321.515,0.075
6pxz_B,3,320.841,0.075
1g81_A,1,330.336,0.073
1g81_A,2,343.597,0.07
1g81_A,3,331.35,0.072
3bjd_B,1,166.29,0.144
3bjd_B,2,166.731,0.144
3bjd_B,3,166.012,0.145
2zd2_B,1,180.601,0.133
2zd2_B,2,167.014,0.144
2zd2_B,3,174.238,0.138
1ve0_A,1,298.501,0.08
1ve0_A,2,298.265,0.08
1ve0_A,3,309.93,0.077
6rwt_A,1,214.072,0.112
6rwt_A,2,217.34,0.11
6rwt_A,3,219.126,0.11
3sws_E,1,282.238,0.085
3sws_E,2,278.124,0.086
3sws_E,3,288.054,0.083
3mm6_A,1,109.934,0.218
3mm6_A,2,110.119,0.218
3mm6_A,3,110.139,0.218
3ilw_A,1,101.567,0.236
3ilw_A,2,100.779,0.238
3ilw_A,3,93.015,0.258
6vr8_I,1,136.218,0.176
6vr8_I,2,141.92,0.169
6vr8_I,3,133.663,0.18
2qcu_B,1,137.151,0.175
2qcu_B,2,137.208,0.175
2qcu_B,3,138.037,0.174
1gqe_A,1,116.407,0.206
1gqe_A,2,115.229,0.208
1gqe_A,3,110.998,0.216
1p5g_X,1,138.518,0.173
1p5g_X,2,140.814,0.17
1p5g_X,3,141.401,0.17
4fbs_A,1,293.085,0.082
4fbs_A,2,304.093,0.079
4fbs_A,3,284.284,0.084
2ccq_A,1,375.589,0.064
2ccq_A,2,382.365,0.063
2ccq_A,3,358.02,0.067
3omd_B,1,288.839,0.083
3omd_B,2,292.484,0.082
3omd_B,3,286.842,0.084
1xg0_A,1,250.677,0.096
1xg0_A,2,249.729,0.096
1xg0_A,3,247.616,0.097
1q8f_A,1,207.989,0.115
1q8f_A,2,203.863,0.118
1q8f_A,3,198.85,0.121
1utg_A,1,409.104,0.059
1utg_A,2,401.726,0.06
1utg_A,3,417.756,0.057
3pf6_A,1,348.85,0.069
3pf6_A,2,347.119,0.069
3pf6_A,3,350.747,0.068
2xc1_B,1,50.322,0.477
2xc1_B,2,47.998,0.5
2xc1_B,3,50.713,0.473
1ifg_A,1,271.348,0.088
1ifg_A,2,255.9,0.094
1ifg_A,3,259.248,0.093
5xct_B,1,189.893,0.126
5xct_B,2,189.113,0.127
5xct_B,3,176.033,0.136
1fn9_B,1,155.844,0.154
1fn9_B,2,152.498,0.157
1fn9_B,3,159.016,0.151
1mk0_A,1,400.17,0.06
1mk0_A,2,414.604,0.058
1mk0_A,3,369.439,0.065
2fef_A,1,190.586,0.126
2fef_A,2,182.734,0.131
2fef_A,3,185.678,0.129
2yjg_A,1,165.302,0.145
2yjg_A,2,165.781,0.145
2yjg_A,3,159.179,0.151
7snb_A,1,182.53,0.131
7snb_A,2,185.466,0.129
7snb_A,3,165.412,0.145
3ijw_A,1,214.287,0.112
3ijw_A,2,215.733,0.111
3ijw_A,3,217.148,0.111
4ehx_A,1,150.236,0.16
4ehx_A,2,151.394,0.159
4ehx_A,3,151.169,0.159
2jdd_A,1,300.704,0.08
2jdd_A,2,303.032,0.079
2jdd_A,3,298.849,0.08
1zd7_B,1,329.669,0.073
1zd7_B,2,348.3,0.069
1zd7_B,3,343.255,0.07
3qc7_A,1,58.112,0.413
3qc7_A,2,57.104,0.42
3qc7_A,3,59.292,0.405
1ka1_A,1,192.507,0.125
1ka1_A,2,179.766,0.134
1ka1_A,3,192.628,0.125
3ig9_C,1,414.707,0.058
3ig9_C,2,426.311,0.056
3ig9_C,3,423.501,0.057
1h8e_G,1,115.701,0.207
1h8e_G,2,124.807,0.192
1h8e_G,3,123.856,0.194
4wlr_B,1,327.033,0.073
4wlr_B,2,328.778,0.073
4wlr_B,3,343.383,0.07
4lzh_A,1,222.409,0.108
4lzh_A,2,199.718,0.12
4lzh_A,3,202.137,0.119
1tg7_A,1,82.71,0.29
1tg7_A,2,84.822,0.283
1tg7_A,3,83.048,0.289
4n7w_B,1,208.253,0.115
4n7w_B,2,208.186,0.115
4n7w_B,3,201.586,0.119
2y1y_A,1,262.352,0.091
2y1y_A,2,266.894,0.09
2y1y_A,3,261.627,0.092
3iiu_M,1,309.595,0.078
3iiu_M,2,322.778,0.074
3iiu_M,3,313.939,0.076
3zzo_A,1,347.058,0.069
3zzo_A,2,348.284,0.069
3zzo_A,3,350.748,0.068
3l51_B,1,239.867,0.1
3l51_B,2,242.087,0.099
3l51_B,3,247.183,0.097
1yoc_B,1,195.577,0.123
1yoc_B,2,197.605,0.121
1yoc_B,3,197.986,0.121
3gnu_P,1,254.345,0.094
3gnu_P,2,275.832,0.087
3gnu_P,3,251.667,0.095
4v4e_M,1,101.912,0.235
4v4e_M,2,104.08,0.231
4v4e_M,3,100.235,0.239
3fpn_A,1,351.612,0.068
3fpn_A,2,347.311,0.069
3fpn_A,3,345.447,0.069
3pt1_A,1,126.949,0.189
3pt1_A,2,129.818,0.185
3pt1_A,3,128.493,0.187
6vg5_A,1,328.446,0.073
6vg5_A,2,322.558,0.074
6vg5_A,3,352.213,0.068
3obl_B,1,337.838,0.071
3obl_B,2,366.277,0.066
3obl_B,3,364.055,0.066
3fh2_A,1,224.188,0.107
3fh2_A,2,221.056,0.109
3fh2_A,3,221.957,0.108
1ugp_A,1,230.387,0.104
1ugp_A,2,232.793,0.103
1ugp_A,3,213.955,0.112
4h4n_A,1,325.584,0.074
4h4n_A,2,323.874,0.074
4h4n_A,3,329.159,0.073
4j8c_B,1,494.273,0.049
4j8c_B,2,495.109,0.048
4j8c_B,3,510.298,0.047
3zzr_A,1,374.59,0.064
3zzr_A,2,393.479,0.061
3zzr_A,3,383.408,0.063
1xvg_E,1,205.971,0.117
1xvg_E,2,207.356,0.116
1xvg_E,3,205.058,0.117
5opm_A,1,126.551,0.19
5opm_A,2,134.576,0.178
5opm_A,3,135.561,0.177
2vg3_C,1,194.321,0.124
2vg3_C,2,195.85,0.123
2vg3_C,3,194.754,0.123
6eu8_A,1,209.87,0.114
6eu8_A,2,204.261,0.117
6eu8_A,3,202.65,0.118
6e5y_A,1,109.779,0.219
6e5y_A,2,110.901,0.216
6e5y_A,3,111.402,0.215
4j8c_A,1,511.984,0.047
4j8c_A,2,512.824,0.047
4j8c_A,3,526.21,0.046
4p3x_A,1,177.048,0.136
4p3x_A,2,175.436,0.137
4p3x_A,3,181.953,0.132
1koe_A,1,287.69,0.083
1koe_A,2,302.829,0.079
1koe_A,3,297.7,0.081
2ygs_A,1,440.568,0.054
2ygs_A,2,425.518,0.056
2ygs_A,3,444.419,0.054
3hlz_A,1,187.345,0.128
3hlz_A,2,181.186,0.132
3hlz_A,3,186.027,0.129
3bqp_B,1,472.661,0.051
3bqp_B,2,451.257,0.053
3bqp_B,3,473.782,0.051
5eqz_A,1,263.962,0.091
5eqz_A,2,262.645,0.091
5eqz_A,3,268.385,0.089
1yoz_A,1,338.784,0.071
1yoz_A,2,332.646,0.072
1yoz_A,3,320.709,0.075
5jfc_L,1,126.122,0.19
5jfc_L,2,136.803,0.175
5jfc_L,3,134.387,0.179
1xhk_B,1,292.19,0.082
1xhk_B,2,282.283,0.085
1xhk_B,3,285.442,0.084
3b4q_A,1,362.985,0.066
3b4q_A,2,351.15,0.068
3b4q_A,3,354.669,0.068
5fia_B,1,112.398,0.214
5fia_B,2,109.865,0.218
5fia_B,3,106.569,0.225
3qfl_A,1,236.549,0.101
3qfl_A,2,246.951,0.097
3qfl_A,3,235.509,0.102
5jbg_A,1,92.407,0.26
5jbg_A,2,89.402,0.268
5jbg_A,3,89.443,0.268
3vc8_A,1,320.159,0.075
3vc8_A,2,321.757,0.075
3vc8_A,3,336.146,0.071
3ld7_B,1,342.412,0.07
3ld7_B,2,367.667,0.065
3ld7_B,3,362.593,0.066
2o74_F,1,249.358,0.096
2o74_F,2,253.935,0.095
2o74_F,3,249.407,0.096
2c9i_D,1,208.042,0.115
2c9i_D,2,208.646,0.115
2c9i_D,3,207.481,0.116
3jsy_A,1,203.473,0.118
3jsy_A,2,193.22,0.124
3jsy_A,3,205.313,0.117
3qc5_X,1,106.64,0.225
3qc5_X,2,103.945,0.231
3qc5_X,3,106.407,0.226
5ygh_A,1,379.317,0.063
5ygh_A,2,395.424,0.061
5ygh_A,3,383.984,0.063
2ex2_A,1,130.354,0.184
2ex2_A,2,138.373,0.173
2ex2_A,3,127.663,0.188
2oqz_A,1,230.545,0.104
2oqz_A,2,225.641,0.106
2oqz_A,3,231.189,0.104
2hyv_A,1,142.131,0.169
2hyv_A,2,145.329,0.165
2hyv_A,3,137.583,0.174
2ad6_A,1,131.56,0.182
2ad6_A,2,138.628,0.173
2ad6_A,3,133.682,0.18
4kct_B,1,126.973,0.189
4kct_B,2,126.374,0.19
4kct_B,3,127.111,0.189
3ouf_B,1,296.296,0.081
3ouf_B,2,285.749,0.084
3ouf_B,3,295.762,0.081
4ued_B,1,339.068,0.071
4ued_B,2,364.192,0.066
4ued_B,3,344.75,0.07
5bnh_A,1,354.996,0.068
5bnh_A,2,356.716,0.067
5bnh_A,3,349.03,0.069
4ew5_B,1,352.858,0.068
4ew5_B,2,313.763,0.076
4ew5_B,3,335.337,0.072
3m6z_A,1,169.571,0.142
3m6z_A,2,169.935,0.141
3m6z_A,3,170.172,0.141
3qra_A,1,246.655,0.097
3qra_A,2,242.951,0.099
3qra_A,3,243.539,0.099
3u5v_A,1,214.148,0.112
3u5v_A,2,215.243,0.112
3u5v_A,3,213.474,0.112
2fi9_A,1,235.688,0.102
2fi9_A,2,230.563,0.104
2fi9_A,3,233.632,0.103
3mfd_A,1,134.552,0.178
3mfd_A,2,137.869,0.174
3mfd_A,3,133.204,0.18
3msw_A,1,203.388,0.118
3msw_A,2,199.88,0.12
3msw_A,3,201.443,0.119
3h8t_A,1,209.274,0.115
3h8t_A,2,194.523,0.123
3h8t_A,3,195.126,0.123
1ijx_C,1,291.591,0.082
1ijx_C,2,290.055,0.083
1ijx_C,3,292.086,0.082
6wzw_A,1,207.968,0.115
6wzw_A,2,199.96,0.12
6wzw_A,3,202.494,0.119
1qz4_A,1,239.57,0.1
1qz4_A,2,261.87,0.092
1qz4_A,3,241.862,0.099
3ldu_A,1,130.658,0.184
3ldu_A,2,132.843,0.181
3ldu_A,3,134.867,0.178
4qx8_C,1,167.705,0.143
4qx8_C,2,187.05,0.128
4qx8_C,3,191.318,0.125
3q1c_A,1,168.186,0.143
3q1c_A,2,166.536,0.144
3q1c_A,3,170.933,0.14
6spt_A,1,456.456,0.053
6spt_A,2,416.424,0.058
6spt_A,3,416.471,0.058
2dlb_A,1,226.772,0.106
2dlb_A,2,225.188,0.107
2dlb_A,3,227.307,0.106
16pk_A,1,138.632,0.173
16pk_A,2,135.458,0.177
16pk_A,3,136.48,0.176
1bgf_A,1,273.0,0.088
1bgf_A,2,277.842,0.086
1bgf_A,3,271.81,0.088
3whj_A,1,230.76,0.104
3whj_A,2,234.505,0.102
3whj_A,3,229.283,0.105
1xkr_A,1,225.806,0.106
1xkr_A,2,221.871,0.108
1xkr_A,3,233.652,0.103
1fxo_G,1,182.202,0.132
1fxo_G,2,183.173,0.131
1fxo_G,3,185.904,0.129
7c45_A,1,191.1,0.126
7c45_A,2,207.281,0.116
7c45_A,3,206.576,0.116
1bxy_B,1,472.976,0.051
1bxy_B,2,466.493,0.051
1bxy_B,3,459.453,0.052
2wcu_A,1,174.737,0.137
2wcu_A,2,175.303,0.137
2wcu_A,3,175.108,0.137
6ao8_A,1,100.345,0.239
6ao8_A,2,100.604,0.239
