pdb_id,rep,ns/day,hour/ns
1f3u_G,2,219.254,0.109
1f3u_G,3,222.687,0.108
4rp5_A,1,216.465,0.111
4rp5_A,2,216.829,0.111
4rp5_A,3,215.653,0.111
7jrq_A,1,256.106,0.094
7jrq_A,2,258.213,0.093
7jrq_A,3,250.164,0.096
1vzy_B,1,154.648,0.155
1vzy_B,2,148.855,0.161
1vzy_B,3,149.419,0.161
6uxe_B,1,298.81,0.08
6uxe_B,2,308.978,0.078
6uxe_B,3,298.705,0.08
3d7a_B,1,272.907,0.088
3d7a_B,2,271.745,0.088
3d7a_B,3,295.259,0.081
2arz_A,1,232.927,0.103
2arz_A,2,232.127,0.103
2arz_A,3,222.489,0.108
2vh3_A,1,356.224,0.067
2vh3_A,2,354.136,0.068
2vh3_A,3,336.474,0.071
6tly_A,1,345.606,0.069
6tly_A,2,341.134,0.07
6tly_A,3,346.168,0.069
5h6x_A,1,332.419,0.072
5h6x_A,2,334.696,0.072
5h6x_A,3,326.668,0.073
3lgb_B,1,237.149,0.101
3lgb_B,2,228.936,0.105
3lgb_B,3,230.357,0.104
4u9b_A,1,218.145,0.11
4u9b_A,2,214.606,0.112
4u9b_A,3,220.347,0.109
5y4z_A,1,139.64,0.172
5y4z_A,2,151.723,0.158
5y4z_A,3,144.979,0.166
2x63_A,1,229.416,0.105
2x63_A,2,216.04,0.111
2x63_A,3,229.484,0.105
3lpe_B,1,425.885,0.056
3lpe_B,2,429.224,0.056
3lpe_B,3,422.956,0.057
7bhc_A,1,233.644,0.103
7bhc_A,2,226.701,0.106
7bhc_A,3,217.873,0.11
7adr_C,1,332.429,0.072
7adr_C,2,305.134,0.079
7adr_C,3,325.078,0.074
3e7h_A,1,281.848,0.085
3e7h_A,2,294.75,0.081
3e7h_A,3,275.268,0.087
3ig9_B,1,355.522,0.068
3ig9_B,2,377.806,0.064
3ig9_B,3,380.931,0.063
5muy_A,1,155.568,0.154
5muy_A,2,169.831,0.141
5muy_A,3,169.808,0.141
3wx4_A,1,243.154,0.099
3wx4_A,2,244.952,0.098
3wx4_A,3,243.309,0.099
1ptq_A,1,559.896,0.043
1ptq_A,2,538.269,0.045
1ptq_A,3,547.944,0.044
1n2m_A,1,235.217,0.102
1n2m_A,2,236.313,0.102
1n2m_A,3,237.179,0.101
4bt9_B,1,114.916,0.209
4bt9_B,2,114.729,0.209
4bt9_B,3,119.608,0.201
2xf2_A,1,76.232,0.315
2xf2_A,2,75.961,0.316
2xf2_A,3,71.609,0.335
4n67_A,1,210.103,0.114
4n67_A,2,193.21,0.124
4n67_A,3,198.792,0.121
1fx4_A,1,209.836,0.114
1fx4_A,2,211.836,0.113
1fx4_A,3,198.923,0.121
4erv_A,1,193.586,0.124
4erv_A,2,188.409,0.127
4erv_A,3,188.309,0.127
3cjs_C,1,456.657,0.053
3cjs_C,2,448.072,0.054
3cjs_C,3,483.702,0.05
1vaj_A,1,217.321,0.11
1vaj_A,2,218.075,0.11
1vaj_A,3,221.128,0.109
7qsu_A,1,142.149,0.169
7qsu_A,2,147.305,0.163
7qsu_A,3,153.278,0.157
2rdi_A,1,148.318,0.162
2rdi_A,2,148.932,0.161
2rdi_A,3,154.514,0.155
2w9y_A,1,311.595,0.077
2w9y_A,2,298.089,0.081
2w9y_A,3,299.487,0.08
2dt8_A,1,210.713,0.114
2dt8_A,2,210.62,0.114
2dt8_A,3,211.744,0.113
3bpj_C,1,300.44,0.08
3bpj_C,2,284.879,0.084
3bpj_C,3,291.116,0.082
3ii2_A,1,239.724,0.1
3ii2_A,2,241.498,0.099
3ii2_A,3,246.219,0.097
7ubk_B,1,238.513,0.101
7ubk_B,2,226.318,0.106
7ubk_B,3,220.358,0.109
