,CYS,ASP,GLU,PHE,HIS,ILE,LYS,LEU,MET,ASN,PRO,GLN,ARG,SER,THR,VAL,TRP,TYR
5.0,2.3397143879028933e-05,2.791306359289212e-06,2.7048086877485362e-05,6.0433180067614e-06,0.0,0.0,2.199742487357235e-06,1.0882751412828481e-05,2.920042912279714e-05,4.47318582307253e-07,0.008901442508787782,2.4649485233765875e-05,5.241006294641741e-06,6.133189598826725e-06,2.4021043807006013e-06,0.0003607949533079563,2.7679704857833223e-05,6.0433180067614e-06
15.0,3.0353051518740238e-06,1.431670035893499e-05,9.250376446832693e-05,4.1227018731057216e-05,2.5925888559972915e-05,9.353244278379112e-06,8.729699212447167e-05,8.330251536001437e-05,0.00014957023982533366,1.0810199072425282e-05,0.05146326487769688,9.839233818519753e-05,8.415276144792587e-05,4.512594974903168e-05,1.2010521903503008e-05,0.0001035370583431324,9.294079761207303e-05,4.1227018731057216e-05
25.0,0.00012406809808285073,6.266932987307392e-05,0.00045984221451270634,0.0003177295138349288,0.00022969633393858026,0.00014150553440515494,0.0009497493946015121,0.0002924492106938272,0.0008451198870505964,0.0001122769641591199,0.2367685845925098,0.0005123255010625733,0.0009424106614881856,0.00033271434378451714,0.00017037783214540696,2.4299513692775975e-05,0.0006132292336389799,0.0003177295138349288
35.0,0.0012677457850993677,0.0007155648915248674,0.002093216167637444,0.002015487947844005,0.0020054437327273063,0.0014919933211801203,0.004489415312412726,0.0008142276738870661,0.003605117000858825,0.0010110891022084806,0.1701770502360512,0.002399950640719372,0.004630128951038882,0.001803247277669626,0.0013491247675320333,4.9655527980890024e-05,0.003989478111541999,0.002015487947844005
45.0,0.006696389049226057,0.010261922682434588,0.009017986527549267,0.01086563742062246,0.011283275174096434,0.011699098286908002,0.012170768018673681,0.0029331983080685005,0.012306204452286232,0.0089745527168304,0.002455225400110993,0.010365430651773307,0.012641162301852428,0.01532312507946285,0.029437789185485858,0.0015372083662168854,0.021161696959440673,0.01086563742062246
55.0,0.03995346877202176,0.06368374462932397,0.021459849220199733,0.03421188551770167,0.038287375687710574,0.057845290098414257,0.021468080110496862,0.008518226333132048,0.023691352653536755,0.04890556426294311,8.186528846512434e-07,0.022137339456920334,0.022607992481246373,0.12938737941791106,0.16728992696401634,0.017148061162932448,0.049234768679806355,0.03421188551770167
65.0,0.0847176432676679,0.09241520123833155,0.03085362950792212,0.046891511762490665,0.051969323456312756,0.0800860981221703,0.026087200912025918,0.01212694670162598,0.029861776909697383,0.07897499034351012,8.186528846512434e-07,0.028976084416066347,0.027718509447599137,0.23775412445808572,0.20916169473954585,0.042635081524868425,0.05449593794705255,0.046891511762490665
75.0,0.0342326773870272,0.03525545990779143,0.025798620615845005,0.026429416487843777,0.03023380928259428,0.022763986268230497,0.022555477333676258,0.009125285993760394,0.024819541348021102,0.03486557592006537,8.186528846512432e-07,0.02388753514961766,0.023822680203843254,0.10518536558286791,0.05574855320395254,0.014967972184452302,0.02891764027590589,0.026429416487843777
85.0,0.006664518345131385,0.003908729324411098,0.010511118104484306,0.007447189058249876,0.008412657558428845,0.0028258866422999356,0.013555955381079062,0.0040046546517133455,0.011425327381792829,0.005419115518458251,8.186528846512434e-07,0.010333329209094452,0.013958743005421164,0.012481085601419665,0.004536888859606077,0.002252459269260771,0.006247286882587852,0.007447189058249876
95.0,0.0009632035015280066,0.00027759991953833877,0.003237137004482199,0.001213465141686408,0.0013479115816927008,0.00035572500013576736,0.00532479924904174,0.0007706966682357527,0.0037340410887090852,0.0006890197229472627,8.186528846512432e-07,0.0033056353228228907,0.0052031257085577605,0.0015801245261327444,0.00042517247538400183,0.0001922831083515316,0.00089542720023835,0.001213465141686408
